Image Name,Cluster Label
02004014.bmp,1
02004015.bmp,1
02005000.bmp,0
02005001.bmp,1
02005002.bmp,1
02005003.bmp,1
02005004.bmp,1
02005005.bmp,1
02005006.bmp,2
02005007.bmp,2
02005008.bmp,2
02005009.bmp,2
02005010.bmp,2
02005011.bmp,2
02005012.bmp,2
02005013.bmp,1
02005014.bmp,1
02005015.bmp,3
02006000.bmp,1
02006001.bmp,1
02006002.bmp,1
02006003.bmp,1
02006004.bmp,1
02006005.bmp,1
02006006.bmp,1
02006007.bmp,1
02006008.bmp,1
02006009.bmp,1
02006010.bmp,1
02006011.bmp,1
02006012.bmp,1
02006013.bmp,0
02006014.bmp,1
02006015.bmp,1
02007000.bmp,1
02007001.bmp,1
02007002.bmp,3
02007003.bmp,1
02007004.bmp,1
02007005.bmp,1
02007006.bmp,0
02007007.bmp,1
02007008.bmp,1
02007009.bmp,1
02007010.bmp,1
02007011.bmp,3
02007012.bmp,3
02007013.bmp,1
02007014.bmp,1
02007015.bmp,0
03000000.bmp,1
03000001.bmp,1
03000002.bmp,1
03000003.bmp,1
03000004.bmp,1
03000005.bmp,1
03000006.bmp,1
03000007.bmp,1
03000008.bmp,0
03000009.bmp,1
03000010.bmp,1
03000011.bmp,1
03000012.bmp,0
03000013.bmp,0
03000014.bmp,1
03000015.bmp,1
03001000.bmp,1
03001001.bmp,1
03001002.bmp,1
03001003.bmp,0
03001004.bmp,1
03001005.bmp,1
03001006.bmp,1
03001007.bmp,1
03001008.bmp,0
03001009.bmp,1
03001010.bmp,1
03001011.bmp,1
03001012.bmp,1
03001013.bmp,1
03001014.bmp,1
03001015.bmp,0
03002000.bmp,1
03002001.bmp,1
03002002.bmp,0
03002003.bmp,1
03002004.bmp,1
03002005.bmp,1
03002006.bmp,1
03002007.bmp,1
03002008.bmp,1
03002009.bmp,1
03002010.bmp,1
03002011.bmp,1
03002012.bmp,1
03002013.bmp,1
03002014.bmp,1
03002015.bmp,0
03003000.bmp,1
03003001.bmp,1
03003002.bmp,1
03003003.bmp,1
03003004.bmp,1
03003005.bmp,1
03003006.bmp,1
03003007.bmp,2
03003008.bmp,1
03003009.bmp,1
03003010.bmp,1
03003011.bmp,0
03003012.bmp,1
03003013.bmp,1
03003014.bmp,1
03003015.bmp,1
03004000.bmp,1
03004001.bmp,0
03004002.bmp,1
03004003.bmp,1
03004004.bmp,1
03004005.bmp,1
03004006.bmp,1
03004007.bmp,1
03004008.bmp,1
03004009.bmp,3
03004010.bmp,0
03004011.bmp,1
03004012.bmp,1
03004013.bmp,1
03004014.bmp,3
03004015.bmp,0
03005000.bmp,0
03005001.bmp,3
03005002.bmp,3
03005003.bmp,3
03005004.bmp,1
03005005.bmp,0
03005006.bmp,0
03005007.bmp,0
03005008.bmp,0
03005009.bmp,0
03005010.bmp,0
03005011.bmp,1
03005012.bmp,1
03005013.bmp,0
03005014.bmp,0
03005015.bmp,0
03006000.bmp,0
03006001.bmp,1
03006002.bmp,1
03006003.bmp,1
03006004.bmp,1
03006005.bmp,1
03006006.bmp,1
03006007.bmp,1
03006008.bmp,0
03006009.bmp,0
03006010.bmp,0
03006011.bmp,0
03006012.bmp,0
03006013.bmp,0
03006014.bmp,0
03006015.bmp,0
03007000.bmp,0
03007001.bmp,0
03007002.bmp,0
03007003.bmp,0
03007004.bmp,0
03007005.bmp,0
03007006.bmp,0
03007007.bmp,0
03007008.bmp,0
03007009.bmp,0
03007010.bmp,0
03007011.bmp,0
03007012.bmp,0
03007013.bmp,0
03007014.bmp,0
03007015.bmp,0
04000000.bmp,0
04000001.bmp,0
04000002.bmp,0
04000003.bmp,0
04000004.bmp,0
04000005.bmp,0
04000006.bmp,0
04000007.bmp,0
04000008.bmp,0
04000009.bmp,0
04000010.bmp,0
04000011.bmp,0
04000012.bmp,0
04000013.bmp,0
04000014.bmp,0
04000015.bmp,0
04001000.bmp,0
04001001.bmp,2
04001002.bmp,0
04001003.bmp,0
04001004.bmp,0
04001005.bmp,0
04001006.bmp,0
04001007.bmp,1
04001008.bmp,0
04001009.bmp,0
04001010.bmp,0
04001011.bmp,0
04001012.bmp,0
04001013.bmp,0
04001014.bmp,0
04001015.bmp,0
04002000.bmp,0
04002001.bmp,0
04002002.bmp,0
04002003.bmp,1
04002004.bmp,1
04002005.bmp,0
04002006.bmp,0
04002007.bmp,0
04002008.bmp,0
04002009.bmp,0
04002010.bmp,3
04002011.bmp,2
04002012.bmp,0
04002013.bmp,0
04002014.bmp,0
04002015.bmp,0
04003000.bmp,0
04003001.bmp,0
04003002.bmp,2
04003003.bmp,2
04003004.bmp,0
04003005.bmp,0
04003006.bmp,0
04003007.bmp,0
